listing_id,id,date,reviewer_id,reviewer_name,comments,Language
109,449036,2011-08-15,927861,Edwin,The host canceled my reservation the day before arrival.,en
109,74506539,2016-05-15,22509885,Jenn,"Me and two friends stayed for four and a half months. It was a great place to stay! The apartment was very comfortable and I really enjoyed having the park with running path across the street. The only downside was it wasn't within walking distance to restaurants, bars, or coffee shops. But they are a short drive away. Overall, great stay!",en
2732,300833,2011-06-06,121550,Noemie,"As I was coming to Venice beach for a Yoga teacher training at Exhale, i could not have asked for a better supportive and nurturing environment. THe location was perfect ; 5 minutes walk to studio, beach and awsome food market.Dangerous place for shoppers as some of the shops near her house are amazing! Also it is so close to some of the best raw or healthy restaurants or whole foods markets.  REv. Dr. Louise  took care of me like a daughter and she and I are friends forever now. The best sleep I have ever had surrounded by healing crystals and plants that facilitated so much healing and space for my life to unfold on this Yoga journey. NOemie BourqueMassage Therapist and Yoga TeacherWhistler B.CCanada",en
2732,445238,2011-08-14,961293,Nicolas,Louise Diana gave me a very warm welcome ! The place is very clean and ideally situated just a few blocks from Venice Beach. Louise is a very interesting person and her place was like an oasis during my holidays. Go  go go !!,en
2732,549063,2011-09-19,1131391,Connie,"The bed is a pull out loveseat in the ground level living room, open to the kitchen-there is a wall of windows next to the bed, open with no window treatment-the landing on the stairs looks directly  down onto the bed-the bathroom is on the second level of the townhouse.The positive aspect of this experience was the response, service and help I received from the staff of airbnb. Rachel B and Johnny M went well above and beyond in their efforts to assist me. Thank you airbnb!",en
2732,1515377,2012-06-19,2248831,Eric,"I had an absolutely fantastic stay with Rev. Dr. Louise-Diana. Her hospitality, kindness, conversations, and helpful information made me feel welcome in her home. The location was excellent it is near everything, from the 3rd Street Promenade to Venice Beach or even the Santa Monica Pier; all the sites are close by. I highly recommend staying with the good Dr. if you’re visiting the Santa Monica area. ",en
2732,1770370,2012-07-22,2756614,Bruno,"Very nice place, very quite, near the beach, near all what you need (restaurants, pubs, supermarkets...). Louise-Diana is a very facinating  and very welcoming person. Don't hesitate, if you want to spend relaxed time, it is the right place with the right person !",en
2732,1979159,2012-08-13,2295610,Rebecca,"Louise-Diana was nice and her apartment is in an awesome location (I used to live 3 blocks away yrs ago). However, the pull out love seat bed was unbearable. I canceled my stay the next day and got refunded after sending in photos of the mattress. It's a cheap love seat, maybe 15 yrs old, with metal bars poking your back through the 2 inch, cheap mattress. Fabric is torn in many places as with the matching furniture. I got 3 uneasy hours of sleep. The apartment is also quite dated, stuffy, and not as nice as the photos and word 'townhouse' seem to impart. I'd charge a bit less for it. Otherwise I'd rate the rest as fair to good. Louise-Diana is cheerful and easy going. With a new bed, she'll be in much better shape. I LOVED my 1st 2 AirBnB experiences in Italy, this makes me more careful when choosing, and I'll avoid pull-out couches!",en
2732,2554619,2012-10-08,3562921,David,"Louise-Diana is the sweetest gal ever!  She accommodated me extremely last minute with open arms.  Her apartment is beautiful -- she has a beautiful garden right beside the sofa.  Her apartment is a few blocks from the beach, the farm market -- and great shops.  I didn't have a car so I walked everywhere and it was wonderful!  Made a new friend and will definitely stay again when I'm back in town!  ",en
2732,5585432,2013-07-07,6269965,James,"had a great time with louisa-diana. great location. quiet, leafy and serene. 6 min bike ride to wholefoods & other little shops n restaurants. 5 mins walk from main st with everything you'll ever need. and of course 7 mins walk from the beach too. Me and Louisa D saw man of steel together. it was ghastly. ",en
